,nom_artista,reproducciones
256,Vicente Fernández,1112416
257,Vicente Fernández,1110957
258,Tony Camargo,1109251
259,Vicente Fernández,1102217
260,Maná,1094902
261,Trueno,1090745
262,Intocable,1087784
263,Bad Bunny & Daddy Yankee,1082467
264,Adele,1078041
265,Stray Kids,1076084
266,Rauw Alejandro,1074554
267,Jenni Rivera,1072002
268,Joji,1071672
269,El Mimoso Luis Antonio López,1066639
270,Los 2 de la S,1066054
271,Marca MP,1061186
272,Vicente Fernández,1059970
273,Los Lara,1058810
274,Standly,1055793
275,Bad Bunny,1055284
276,Marca MP,1050870
277,Panteón Rococó,1050378
278,Jay Wheeler,1038594
279,Eslabón Armado,1038158
280,Rocío Dúrcal,1034818
281,Banda Tierra Sagrada,1028583
282,Los Rieleros del Norte,1024330
283,Seafret,1023465
284,Carin Leon & Espinoza Paz,1023020
285,Reik & Christian Nodal,1018366
286,Jeeiph,1017398
287,Los Ángeles Azules,1016350
288,"El Alfa, Farruko, Myke Towers, Justin Quiles & Chencho Corleone",1010807
289,"Luis Alfonso Partida ""El Yaki""",1000081
290,BTS,989755
291,Natanael Cano,989201
292,La Factoria,988191
293,Shakira,988078
294,Gera Mx,985715
295,Banda El Recodo De Cruz Lizarraga,978360
296,Jose Friensch,974944
297,Bobby Pulido,973072
298,Rauw Alejandro,970922
299,Banda Tierra Sagrada,962810
