,nom_cancion,reproducciones
298,No Me Conoce - Remix,996568
299,Brillas,995136
300,BICHOTA,994311
301,La Luz,994140
302,El Güero (Feat. Marca MP),993608
303,La Santa,991751
304,Una Vez,989477
305,Blinding Lights,986710
306,Con Tus Besos,985026
307,EL MAKINON,984899
308,Life Goes On,983894
309,My Universe,983736
310,Jangueo,982008
311,Nos Comemos (feat. Ozuna),981434
312,El Amor De Tu Vida,980261
313,El Color de Tus Ojos,979342
314,Llévatelo,978341
315,Se Me Olvidó,976862
316,Ahora Te Puedes Marchar,973528
317,Mujeres Divinas,972669
318,Madrid (feat. Myke Towers),970924
319,Me La Avente,969185
320,Favorito,968208
321,Y Si Se Quiere Ir,968003
322,Sigues Con El,966372
323,Callaita,963242
324,Vaya Vaya,962509
325,INDUSTRY BABY (feat. Jack Harlow),962191
326,El Roto - En Vivo,959176
327,Mi Tío Snoop,958189
328,Híbrido,957836
329,Ella,955773
330,Don't Start Now,954166
331,Therefore I Am,952199
332,Así Soy,951543
333,SEJODIOTO,950184
334,Préstame Tu Corazón,949435
335,Santa Claus Llegó a La Ciudad,948645
336,Un Nuevo Amor,946373
337,Entre Nosotros,944359
338,TUS LÁGRIMAS,940492
339,12x3,940133
340,2/Catorce,939776
341,A Mí,939476
342,Yellow,938982
343,Fiel,938178
344,Grandes Ligas,937150
345,Volando - Remix,937140
346,Míranos Ahora,937088
347,No Te Contaron Mal,936759
348,Me Dediqué a Perderte,936124
349,A Mí,931060
350,Amor Tóxico,927135
351,Fuerte No Soy,926391
352,Acá Entre Nos,923705
353,Amor Viejo,920019
354,Last Christmas,914970
355,Es un Secreto,914094
356,Amnesia,912887
357,Burbujas de Cristal,910675
358,Huapango Amor Ranchero,909840
359,Blinding Lights,907471
360,El Vago De Los Nike,906837
361,Si Estuviésemos Juntos,903731
362,Desvelado,901988
363,HACIENDO QUE ME AMAS,901817
364,Vete,900585
365,Diles,898943
366,Belleza De Cantina,897945
367,Se Acabo - En Vivo,894658
368,Sexo Virtual,893152
369,YO VISTO ASÍ,892988
370,Miénteme,889787
371,Saturno,888901
372,Palabra de Hombre,888669
373,Golden,888621
374,AM Remix,885143
375,El Amor De Tu Vida,885022
376,Tocame,884918
377,El Fat Tony,884764
378,Nuestra Canción,884690
379,Rojo,882722
380,Devuélveme a mi chica,880017
381,Fuentes de Ortiz,875791
382,Llorar y Llorar - con Carin Leon,872300
383,El Reemplazo,870537
384,Brillas,870071
385,Antologia,869456
386,Descansando,867811
387,Me Dediqué a Perderte,867494
388,Música Romántica,866455
389,Tranquilito - Remix,864842
390,Cuidando El Territorio,863545
391,Loco,862740
392,La Curiosidad,862485
393,La Noche,862457
394,Jugaste y Sufrí,861384
395,Watermelon Sugar,861380
396,Cochinae,859878
397,Un Suspiró,858215
398,Perfecta,858053
399,Una Vez,857836
400,STAY (with Justin Bieber),857384
401,"Paulo Londra: Bzrp Music Sessions, Vol. 23",856770
402,Ley Seca,855737
403,El Amor Soñado,855696
404,Devuélveme a mi chica,854532
405,0:00,853957
406,TE MUDASTE,852710
407,Todas Mueren por Mí,852465
408,Me Acostumbre A Lo Bueno,851809
409,2/Catorce,851383
410,Belleza De Cantina,851326
411,A Tu Merced,851065
412,Ramito De Violetas,850736
413,positions,849963
414,Pa' Olvidarme De Ella,849944
415,Ya Me Enteré,849851
416,Las Mil Y Una Noches,848214
417,Ya Me Enteré,848123
418,Fuerte No Soy,846987
419,Qué Más Pues?,846580
420,Todo Va a Estar Bien,845917
421,No Bailes Sola,845755
422,Hasta Que Me Olvides,845601
423,Amapolas,845324
424,Éxtasis,844178
425,Kiss Me More (feat. SZA),842784
426,Relación,841839
427,Brindo,840812
428,El Envidioso,840787
429,El Amor No Fue Pa´ Mí - En Vivo,840596
430,Amor a Primera Vista,839739
431,Dynamite,838353
432,Si Supieras,837573
433,Lamento Boliviano,835694
434,Jingle Bell Rock,835220
435,Si Me Ven,833249
436,Si Te Pudiera Mentir,832629
437,De Los Besos Que Te Di,832536
438,Polvo,832110
439,Contigo No Fue,831275
440,Locos,829891
441,Cada Vez Te Extraño Más,829617
442,Bad Habits,827853
443,Fuerte No Soy,826824
444,Amor Fugaz,825533
445,Dime Cómo Quieres,825503
446,ANTES QUE SE ACABE,824592
447,Los Mire Con Talento,824584
448,2 Veces,823429
449,El Amor Soñado - En Vivo,822793
450,Índigo,822087
451,Mente Positiva,819843
452,Enemy - From the series Arcane League of Legends,818876
453,Fondo de Bikini,818570
454,telepatía,816013
455,Hola - Remix,815374
456,Ella - Remix,813881
457,Callaita,813587
458,CÓMO SE SIENTE - Remix,812935
459,Tú Me Dejaste De Querer,810167
460,Locos,807162
461,TE DESEO LO MEJOR,806486
462,La Barda,804779
463,Soy Buen Amigo,804718
464,HOY COBRÉ,804556
465,Cada Vez Te Extraño Más,802615
466,Todas Mueren por Mí,801394
467,La Difícil,801320
468,Nunca Es Suficiente,800336
469,Ignorantes,799443
470,Don't Start Now,798460
471,Simplemente Gracias,797208
472,TE DESEO LO MEJOR,796201
473,Feliz Navidad,795707
474,EL MAKINON,793736
475,Beggin',793260
476,La Incondicional,790612
477,Cerrando Ciclos,790241
478,ADMV,789658
479,El Color de Tus Ojos,787803
480,Adiós Amor,787093
481,Las Mil Y Una Noches,786987
482,Devuélveme a mi chica,785952
483,Tatuajes,785210
484,Todavia,783909
485,Vete Ya,782956
486,Amor Tumbado,782538
487,Lamento Boliviano,781967
488,Caballero,781377
489,Woman,780054
490,Vámonos a Marte,779713
491,Hermoso Cariño,778026
492,Tú,775608
493,Do It To It,774929
494,512,774068
495,No Te Contaron Mal,767273
496,Save Your Tears (with Ariana Grande) (Remix),765499
497,La Incondicional,764914
498,Elegí (feat. Dímelo Flow),763707
499,Ponte Pa' Mi,761826
500,Me Dediqué a Perderte,760067
501,In Da Getto,757804
502,Save Your Tears,757800
503,Colapso,753235
504,Que Esta Pasando,750464
505,El Doctor,750054
506,Lamento Boliviano,749933
507,MONEY,747904
508,La Difícil,747804
509,Adiós Amor,744755
510,CÓMO SE SIENTE - Remix,743117
511,El Buho,741695
512,Toxic,739693
513,UN DIA (ONE DAY),738002
514,A Mí,737714
515,Safaera,736161
516,+Linda,734718
517,Need to Know,734710
518,Vete Ya,731417
519,¿Quién Te Crees?,729530
520,Reloj,729178
521,La Escuela No Me Gustó,728611
522,LA FAMA (with The Weeknd),726176
523,Tu Falta De Querer,726011
524,Nunca Es Suficiente,724785
525,Mi Enemigo El Amor,724769
526,El Mismo Aire - con Pablo Alborán,724403
527,Salimo de Noche,724009
528,Está Dañada,723541
529,Morado,720983
530,Desvelado,718322
531,Break My Heart,713727
532,Prometiste,711262
533,Mente Positiva,706496
534,AYAYAY!,703701
535,El Amor No Fue Pa´ Mí - En Vivo,702900
536,Monster (Shawn Mendes & Justin Bieber),699204
537,Si Me Dices Que Sí,692109
538,Anaranjado,692062
539,SORRY PAPI,690085
540,All I Want for Christmas Is You,686056
541,Simplemente Gracias,685506
542,Tatuajes,681732
543,Cerrando Ciclos,681701
544,El Amor De Tu Vida,680003
545,Te Volvería A Elegir,677331
546,Probablemente,675410
547,Por Mi No Te Detengas,673940
548,Ride It,673296
549,Como Una Novela,670274
550,Roses - Imanbek Remix,670015
551,Me Rehúso,669366
552,Ella,662955
553,ANTES QUE SE ACABE,658205
554,Fantasias,654520
555,Una Vez,652950
556,Me Olvidé De Los 2,650960
557,El Efecto,647303
558,Tus Jefes No Me Quieren,647139
559,Culpable O No - Miénteme Como Siempre,645866
560,Djadja (feat. Maluma) - Remix,645826
561,Te Olvidé,644355
562,Mala Fama,644202
563,LA DROGA,642661
564,Diosa,641363
565,Con Todos Menos Conmigo,640908
566,Que Sea,636602
567,Te Vi,632864
568,Amor Prohibido,624887
569,Locos,620741
570,Hasta la Miel Amarga (feat. Grupo Firme),617429
571,China,613734
572,Eso Y Más,605380
573,Amargo Adiós,602695
574,RITMO (Bad Boys For Life),601973
575,Procura,601688
576,Santa Claus Llegó a La Ciudad,601603
577,Como La Flor - Remastered,599978
578,Last Christmas,599716
579,"Gitana (feat. Jeis, Pao Alvarado & Charly Romero)",597774
580,Tal Vez,596263
581,Hasta Que Dios Diga,595423
582,Sodio,592133
583,Somos Los Que Somos - En Vivo,591847
584,Oye Pablo,590617
585,11 PM,589660
586,Tak Tiki Tak,585962
587,El Circo,584699
588,Mamichula - con Nicki Nicole,584576
589,120,583628
590,Dancin (feat. Luvli) - Krono Remix,583310
591,Sálvame,581764
592,Tú,581047
593,Por Debajo De La Mesa,577981
594,Las Mil Y Una Noches,576850
595,Tutu,576529
596,Decepciones,574834
597,Sunflower - Spider-Man: Into the Spider-Verse,574459
598,MALDITA POBREZA,570193
