posicion,nom_artista,nom_cancion,disquera,reproducciones,ano
102,Carin Leon,Me La Avente,Tamarindo Rekordsz,969185,2021
103,"Bad Bunny, Tainy",Callaita,Rimas Entertainment LLC,963242,2021
104,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,962191,2021
105,Virlan Garcia,Híbrido,Sony Music México,957836,2021
106,Santa Fe Klan,Así Soy,Rap Trap Records / Alzada Corp,951543,2021
107,Luis Miguel,Santa Claus Llegó a La Ciudad,WEA Latina,948645,2021
108,"Tiago PZK, LIT killah",Entre Nosotros,WM Chile,944359,2021
109,"Rauw Alejandro, Mr. Naisgai",2/Catorce,Sony Music Latin/Duars Entertainment,939776,2021
110,Rels B,A Mí,ILoveRibs! / MÉCÈN Ent.,939476,2021
111,"Los Legendarios, Wisin, Jhay Cortez",Fiel,La Base Music Group/ WK Records,938178,2021
112,"Lupillo Rivera, Aleman, Santa Fe Klan, Snoop Dogg, B-Real",Grandes Ligas,Prajin Parlay / Z Records,937150,2021
113,Alejandro Fernández,Me Dediqué a Perderte,Columbia,936124,2021
114,Intocable,Fuerte No Soy,Capitol Latin,926391,2021
115,Vicente Fernández,Acá Entre Nos,Columbia,923705,2021
116,Wham!,Last Christmas,Epic,914970,2021
117,La Santa Grifa,Amnesia,Vende Music,912887,2021
118,Bobby Pulido,Desvelado,Capitol Latin,901988,2021
119,Bad Bunny,HACIENDO QUE ME AMAS,Rimas Entertainment LLC,901817,2021
120,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,Rimas Entertainment LLC,898943,2021
121,Rauw Alejandro,Sexo Virtual,Sony Music Latin/Duars Entertainment,893152,2021
122,Pablo Alborán,Saturno,WM Spain,888901,2021
123,El Fantasma,Palabra de Hombre,Afinarte Music,888669,2021
124,"Monsieur Periné, Vicente Garcia",Nuestra Canción,Monsieur Perine,884690,2021
125,"Pancho Barraza, Grupo Firme",Música Romántica,Pachy / RB Music,866455,2021
126,"Gerardo Ortiz, Aleman",Tranquilito - Remix,Sony Music Latin,864842,2021
127,"Justin Quiles, Chimbala, Zion & Lennox",Loco,WEA Latina,862740,2021
128,Kenia OS,La Noche,Sony Music México,862457,2021
129,"Reik, Maluma",Perfecta,Sony Music México,858053,2021
130,"Bad Bunny, Mora",Una Vez,Rimas Entertainment LLC,857836,2021
131,"Jhay Cortez, Anuel AA",Ley Seca,N&E Entertainment LLC,855737,2021
132,Los Tucanes De Tijuana,El Amor Soñado,Master Q Music,855696,2021
133,Hombres G,Devuélveme a mi chica,WM Spain,854532,2021
134,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,WM Mexico,849944,2021
135,Chayín Rubio,Ya Me Enteré,UMLE - Fonovisa,848123,2021
136,Luis Miguel,Hasta Que Me Olvides,WEA Latina,845601,2021
137,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,842784,2021
138,Mario Bautista,Brindo,WM Mexico,840812,2021
139,Los Dos Carnales,El Envidioso,Afinarte Music,840787,2021
140,"Grupo Firme, Banda Coloso",El Amor No Fue Pa´ Mí - En Vivo,Music VIP Entertainment,840596,2021
141,"Los Ángeles Azules, Belinda, Lalo Ebratt, Horacio Palencia",Amor a Primera Vista,OCESA Seitrack,839739,2021
142,Bobby Helms,Jingle Bell Rock,Geffen,835220,2021
143,"Grupo Firme, Luis Alfonso Partida El Yaki",Cada Vez Te Extraño Más,Music VIP Entertainment Inc,829617,2021
144,Ed Sheeran,Bad Habits,Atlantic Records UK,827853,2021
145,"Christian Nodal, Ángela Aguilar",Dime Cómo Quieres,Universal Music Mexico,825503,2021
146,Bad Bunny,ANTES QUE SE ACABE,Rimas Entertainment LLC,824592,2021
147,"Fuerza Regida, Luis R Conriquez, Calle 24",Los Mire Con Talento,Rancho Humilde,824584,2021
148,"Los Plebes del Rancho de Ariel Camacho, Christian Nodal",2 Veces,Universal Music Mexico,823429,2021
149,Firme,El Amor Soñado - En Vivo,Puro Grupo Firme Ent,822793,2021
150,Junior H,Mente Positiva,Rancho Humilde / Z Records,819843,2021
