posicion,nom_artista,nom_cancion,disquera,reproducciones,ano
64,"LAGOS, Danny Ocean",Mónaco,WM Mexico,1585647,2022
65,Grupo Firme,Ya Supérame (En Vivo),Music VIP Entertainment Inc,1583777,2022
66,Joji,Glimpse of Us,88rising Music/Warner Records,1578711,2022
67,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,1575173,2022
68,"Bad Bunny, Jhay Cortez",DÁKITI,Rimas Entertainment LLC,1570855,2022
69,BTS,Run BTS,BIGHIT MUSIC,1522274,2022
70,Gerardo Ortiz,Tranquilito,Sony Music Latin,1519785,2022
71,Natanael Cano,Brillo,WEA Latina,1445964,2022
72,Marca MP,Ya Acabo,Marca MP,1439860,2022
73,"Santa Fe Klan, Neto Peña, Yoss Bones",Debo Entender,Rap Trap Records / Alzada Corp,1439573,2022
74,"Christian Nodal, Banda MS de Sergio Lizárraga",La Sinvergüenza,"Producciones Ladon, S.A de C.V.",1436196,2022
75,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,1434002,2022
76,Harry Styles,Late Night Talking,Columbia,1428919,2022
77,Kevin Kaarl,Vámonos a Marte,Kevin Kaarl,1423855,2022
78,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),Sony Music UK,1394309,2022
79,Grupo Marca Registrada,El Doctor,RB Music,1392644,2022
80,"Grupo Firme, Carin Leon",El Tóxico,Music VIP Entertainment Inc,1369545,2022
81,Morat,No Se Va,Universal Music Spain S.L.,1353464,2022
82,Junior H,Se Amerita,WEA Latina,1349427,2022
83,"Aventura, Bad Bunny",Volví,Rimas Entertainment LLC,1346545,2022
84,Danny Ocean,Me Rehúso,Atlantic Records,1318085,2022
85,Los 2 de la S,Es Que Me Gustas - En Vivo,Lizos Music,1317622,2022
86,"Maluma, Chencho Corleone",Nos Comemos Vivos,Sony Music Latin,1306383,2022
87,Natalia Lafourcade,Hasta la Raíz,RCA Records Label,1278330,2022
88,Carin Leon,La Boda Del Huitlacoche - Live,Tamarindo Rekordsz,1274414,2022
89,Yahritza Y Su Esencia,Soy El Unico,Lumbre Music,1266305,2022
90,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,WEA Latina,1266153,2022
91,Lizzo,About Damn Time,Nice Life/Atlantic,1261054,2022
92,Los Gemelos De Sinaloa,Andamos Mejor,Rancho Humilde,1254304,2022
93,"Peso Pluma, Raul Vega",El Belicon,Prajin Records / Worms Music,1242776,2022
94,Kevin Kaarl,como me encanta,Kevin Kaarl,1240340,2022
95,"Tiësto, KAROL G",Don't Be Shy,Atlantic Records,1239516,2022
96,Santa Fe Klan,Mar y Tierra,Cuatro Siete Tres Music,1239126,2022
97,"Santa Fe Klan, Nanpa Básico",Te Ire A Buscar,Rap Trap Records / Alzada Corp,1236145,2022
98,"Alejo, Feid, ROBI",Pantysito,UMLE - Latino,1223868,2022
99,"Alex Luna, DAAZ",Te Marqué Pedo,Worldwide Records,1220836,2022
100,"Grupo Firme, Lenin Ramírez",En Tu Perra Vida,Music VIP Entertainment Inc,1217917,2022
101,Eden Muñoz,Creo en Ti,Lizos Music,1216399,2022
102,Maluma,Sobrio,Sony Music Latin,1199511,2022
103,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Epic,1178262,2022
104,"Blessd, Justin Quiles, Lenny Tavárez",Medallo,WEA Latina,1164700,2022
105,"Jhay Cortez, J Balvin, Bad Bunny",No Me Conoce - Remix,N&E Entertainment LLC,1153766,2022
106,Bad Bunny,Si Estuviésemos Juntos,Rimas Entertainment LLC,1153754,2022
107,La Factoria,Todavia,La Factoria,1149448,2022
108,"Banda MS de Sergio Lizárraga, Carin Leon",Ojos Cerrados,Lizos Music,1146164,2022
109,Ingratax,París,Room28,1144349,2022
110,Luis R Conriquez,Me Metí En El Ruedo,Kartel Music,1143947,2022
111,Lauri Garcia,Miel,GodKing Records,1138631,2022
112,"Morat, Duki",París,Universal Music Spain S.L.,1117192,2022
113,"Eden Muñoz, Michelle Maciel",No Sabía Cuánto,Lizos Music,1108861,2022
114,"MC Davo, Santa Fe Klan, Eirian Music, Los Golpes",Sigo Esperando Que Vuelvas (feat. Los Golpes),WM Mexico,1096355,2022
115,KAROL G,200 COPAS,UMLE - Latino,1085791,2022
116,Los Lara,Fumando Mota,Serca,1083629,2022
117,Bad Bunny,Si Veo a Tu Mamá,Rimas Entertainment LLC,1082761,2022
118,Farruko,Pepas,Sony Music Latin,1079287,2022
119,"Marca MP, Becky G",Ya acabó - Con Becky G,Sony Music México,1079122,2022
