,nom_artista,reproducciones
390,"Calibre 50, Santa Fe Klan, Beto Sierra",863545
391,"Justin Quiles, Chimbala, Zion & Lennox",862740
392,"Jay Wheeler, DJ Nelson, Myke Towers",862485
393,Kenia OS,862457
394,"Eslabon Armado, DannyLux",861384
395,Harry Styles,861380
396,"Julianno Sosa, King Savagge",859878
397,JR Torres,858215
398,"Reik, Maluma",858053
399,"Bad Bunny, Mora",857836
400,"The Kid LAROI, Justin Bieber",857384
401,"Bizarrap, Paulo Londra",856770
402,"Jhay Cortez, Anuel AA",855737
403,Los Tucanes De Tijuana,855696
404,Hombres G,854532
405,Siddhartha,853957
406,Bad Bunny,852710
407,Cartel De Santa,852465
408,Fuerza Regida,851809
409,"Rauw Alejandro, Mr. Naisgai",851383
410,Cardenales De Nuevo León,851326
411,Bad Bunny,851065
412,Mi Banda El Mexicano,850736
413,Ariana Grande,849963
414,"Piso 21, Christian Nodal",849944
415,Chayín Rubio,849851
416,Flans,848214
417,Chayín Rubio,848123
418,Intocable,846987
419,"J Balvin, Maria Becerra",846580
420,"Santa Fe Klan, Big Soto, Neto Peña",845917
421,"Danna Paola, Sebastian Yatra",845755
422,Luis Miguel,845601
423,Leo Rizzi,845324
424,"Millonario & W. Corona, Cartel De Santa",844178
425,"Doja Cat, SZA",842784
426,Sech,841839
427,Mario Bautista,840812
428,Los Dos Carnales,840787
429,"Grupo Firme, Banda Coloso",840596
430,"Los Ángeles Azules, Belinda, Lalo Ebratt, Horacio Palencia",839739
431,BTS,838353
432,Kevin Kaarl,837573
433,Los Enanitos Verdes,835694
434,Bobby Helms,835220
435,Los Gemelos De Sinaloa,833249
436,Calibre 50,832629
437,Christian Nodal,832536
438,"Nicky Jam, Myke Towers",832110
439,"Adriel Favela, La Cotorrisa, Strecci",831275
440,León Larregui,829891
441,"Grupo Firme, Luis Alfonso Partida El Yaki",829617
442,Ed Sheeran,827853
443,Intocable,826824
444,Los Del Limit,825533
445,"Christian Nodal, Ángela Aguilar",825503
446,Bad Bunny,824592
447,"Fuerza Regida, Luis R Conriquez, Calle 24",824584
448,"Los Plebes del Rancho de Ariel Camacho, Christian Nodal",823429
449,Firme,822793
450,"Camilo, Evaluna Montaner",822087
451,Junior H,819843
452,"Imagine Dragons, Arcane, League of Legends",818876
453,Leon Leiden,818570
454,Kali Uchis,816013
455,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",815374
456,"Boza, Lunay, Lenny Tavárez, Juhn, Beéle",813881
457,"Bad Bunny, Tainy",813587
458,"Jhay Cortez, Bad Bunny",812935
459,"C. Tangana, Niño de Elche, La Húngara",810167
460,León Larregui,807162
461,Bad Bunny,806486
462,Grupo 360,804779
463,El Fantasma,804718
464,Bad Bunny,804556
465,"Grupo Firme, Luis Alfonso Partida El Yaki",802615
466,Cartel De Santa,801394
467,Bad Bunny,801320
468,"Los Ángeles Azules, Natalia Lafourcade",800336
469,"Bad Bunny, Sech",799443
470,Dua Lipa,798460
471,Calibre 50,797208
472,Bad Bunny,796201
473,José Feliciano,795707
474,"KAROL G, Mariah Angeliq",793736
475,Måneskin,793260
476,Luis Miguel,790612
477,Banda MS de Sergio Lizárraga,790241
478,Maluma,789658
